datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
821597,2249,6,15,15-Jun-2249 00:00:00,1511.78376657489,1509.93238219574,1513.63515095404
821627,2249,7,15,15-Jul-2249 00:00:00,1509.55029639003,1504.83708478836,1514.26350799171
821658,2249,8,15,15-Aug-2249 00:00:00,1509.31776989977,1504.12468585501,1514.51085394453
821689,2249,9,15,15-Sep-2249 00:00:00,1510.54180433143,1506.63493105709,1514.44867760577
821719,2249,10,15,15-Oct-2249 00:00:00,1513.1194408015,1511.64358484677,1514.59529675623
821750,2249,11,15,15-Nov-2249 00:00:00,1515.28983250901,1516.20015407169,1514.37951094633
821780,2249,12,15,15-Dec-2249 00:00:00,1516.42237448272,1518.84143839597,1514.00331056948
821811,2250,1,15,15-Jan-2250 00:00:00,1517.20044359862,1520.15806672089,1514.24282047635
821842,2250,2,15,15-Feb-2250 00:00:00,1517.14370704253,1520.44106730557,1513.84634677949
821870,2250,3,15,15-Mar-2250 00:00:00,1516.70978042453,1520.11123143089,1513.30832941817
821901,2250,4,15,15-Apr-2250 00:00:00,1516.04629415102,1519.05056656575,1513.0420217363
821931,2250,5,15,15-May-2250 00:00:00,1514.28498980117,1515.64167779478,1512.92830180756
821962,2250,6,15,15-Jun-2250 00:00:00,1511.28770634766,1509.40728934588,1513.16812334943
821992,2250,7,15,15-Jul-2250 00:00:00,1509.04788466317,1504.30706268934,1513.788706637
822023,2250,8,15,15-Aug-2250 00:00:00,1508.80865074654,1503.59024912268,1514.0270523704
822054,2250,9,15,15-Sep-2250 00:00:00,1510.02599418802,1506.09607043926,1513.95591793678
822084,2250,10,15,15-Oct-2250 00:00:00,1512.5969255122,1511.10025411478,1514.09359690962
822115,2250,11,15,15-Nov-2250 00:00:00,1514.76073117298,1515.65244596386,1513.86901638211
822145,2250,12,15,15-Dec-2250 00:00:00,1515.88688840746,1518.28965151795,1513.48412529697
822176,2251,1,15,15-Jan-2251 00:00:00,1516.65878276071,1519.6025900575,1513.71497546392
822207,2251,2,15,15-Feb-2251 00:00:00,1516.59606820303,1519.88205917036,1513.3100772357
