datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
406264,1112,4,24,24-Apr-1112 00:00:00,284.909973144531,286.456939697266,283.362976074219
406294.5,1112,5,24,24-May-1112 12:00:00,284.853393554688,286.360443115234,283.346343994141
406325,1112,6,24,24-Jun-1112 00:00:00,284.121002197266,284.846405029297,283.395599365234
406355.5,1112,7,24,24-Jul-1112 12:00:00,282.481689453125,281.565612792969,283.397796630859
406386.5,1112,8,24,24-Aug-1112 12:00:00,280.879577636719,278.505523681641,283.253631591797
406417,1112,9,24,24-Sep-1112 00:00:00,280.840270996094,278.603820800781,283.076690673828
406447.5,1112,10,24,24-Oct-1112 12:00:00,281.877380371094,280.713256835938,283.04150390625
406478,1112,11,24,24-Nov-1112 00:00:00,282.881866455078,282.592437744141,283.171295166016
406508.5,1112,12,24,24-Dec-1112 12:00:00,283.518798828125,283.834991455078,283.20263671875
406539.5,1113,1,24,24-Jan-1113 12:00:00,283.978637695312,284.657867431641,283.299438476562
406569,1113,2,23,23-Feb-1113 00:00:00,284.360870361328,285.313201904297,283.408508300781
406598.5,1113,3,24,24-Mar-1113 12:00:00,284.701843261719,285.954772949219,283.448913574219
406629,1113,4,24,24-Apr-1113 00:00:00,284.941436767578,286.488433837891,283.394439697266
406659.5,1113,5,24,24-May-1113 12:00:00,284.884704589844,286.391754150391,283.377655029297
406690,1113,6,24,24-Jun-1113 00:00:00,284.151977539062,284.877380371094,283.426574707031
406720.5,1113,7,24,24-Jul-1113 12:00:00,282.512176513672,281.596099853516,283.428283691406
406751.5,1113,8,24,24-Aug-1113 12:00:00,280.909484863281,278.535430908203,283.283538818359
406782,1113,9,24,24-Sep-1113 00:00:00,280.869476318359,278.633056640625,283.105926513672
406812.5,1113,10,24,24-Oct-1113 12:00:00,281.905883789062,280.741760253906,283.070007324219
406843,1113,11,24,24-Nov-1113 00:00:00,282.909637451172,282.620208740234,283.199066162109
406873.5,1113,12,24,24-Dec-1113 12:00:00,283.545837402344,283.862030029297,283.229675292969
406904.5,1114,1,24,24-Jan-1114 12:00:00,284.005004882812,284.684234619141,283.325775146484
406934,1114,2,23,23-Feb-1114 00:00:00,284.386596679688,285.338958740234,283.434265136719
406963.5,1114,3,24,24-Mar-1114 12:00:00,284.727081298828,285.980041503906,283.474151611328
406994,1114,4,24,24-Apr-1114 00:00:00,284.96630859375,286.513305664062,283.419311523438
407024.5,1114,5,24,24-May-1114 12:00:00,284.909362792969,286.416412353516,283.402313232422
407055,1114,6,24,24-Jun-1114 00:00:00,284.176483154297,284.901885986328,283.451080322266
407085.5,1114,7,24,24-Jul-1114 12:00:00,282.536682128906,281.62060546875,283.452789306641
407116.5,1114,8,24,24-Aug-1114 12:00:00,280.934020996094,278.559967041016,283.308074951172
407147,1114,9,24,24-Sep-1114 00:00:00,280.894134521484,278.65771484375,283.130584716797
407177.5,1114,10,24,24-Oct-1114 12:00:00,281.9306640625,280.766571044922,283.094787597656
407208,1114,11,24,24-Nov-1114 00:00:00,282.934600830078,282.645172119141,283.224029541016
407238.5,1114,12,24,24-Dec-1114 12:00:00,283.570983886719,283.887176513672,283.254791259766
407269.5,1115,1,24,24-Jan-1115 12:00:00,284.030303955078,284.709503173828,283.35107421875
407299,1115,2,23,23-Feb-1115 00:00:00,284.412017822266,285.364349365234,283.459686279297
407328.5,1115,3,24,24-Mar-1115 12:00:00,284.752563476562,286.005523681641,283.499633789062
407359,1115,4,24,24-Apr-1115 00:00:00,284.991790771484,286.538787841797,283.444793701172
407389.5,1115,5,24,24-May-1115 12:00:00,284.934753417969,286.441802978516,283.427703857422
407420,1115,6,24,24-Jun-1115 00:00:00,284.201782226562,284.927185058594,283.476379394531
407450.5,1115,7,24,24-Jul-1115 12:00:00,282.561828613281,281.645721435547,283.477905273438
